node_count	software_startup_ms	traffic_ms	rx_bytes	rx_packets	rx_errors	rx_dropped	rx_overrun	rx_mcast	tx_bytes	tx_packets	tx_errors	tx_dropped	tx_carrier	tx_collsns	packets_send	packets_received	rtt_avg_ms	load1	load5	load15
50	1610	10436	3698430	18017	0	0	0	0	1736626	8297	0	0	0	0	49	49	0.18657142857142855	0.47	57.1	213.09
100	2180	21024	27033246	92567	0	0	0	0	12832386	42752	0	0	0	0	99	99	0.3224040404040404	0.4	7.33	104.39
150	2759	31595	89431731	253286	0	0	0	0	42576607	117593	0	0	0	0	149	149	0.6540335570469799	1.76	6.64	48.99
200	3347	42174	207173526	518429	0	0	0	0	98943957	244211	0	0	0	0	199	199	0.8647688442211052	2.21	9.05	26.3
250	3991	52745	295120210	726042	0	0	0	0	138781451	342225	0	0	0	0	249	249	1.5631566265060248	2.8	13.22	18.33
300	4674	63318	303972759	783043	0	0	0	0	136477957	363983	0	0	0	0	299	299	2.0589163879598646	2.47	14.4	16.08
350	5609	73933	337417840	881999	0	0	0	0	143089416	400048	0	2769	0	0	349	349	3.6968825214899708	2.18	17.61	18.49
400	6106	84657	377070445	1008645	0	0	0	0	149430713	445900	0	2257	0	0	399	399	3.575182957393482	9.5	30.29	28.89
450	6809	95503	460522656	1124108	0	0	0	0	177486039	487974	0	12074	0	0	449	449	5.280855233853011	6.84	8.67	14.71
500	7619	106216	542832308	1183799	0	0	0	0	200160016	501639	0	14459	0	0	499	499	4.818314629258513	4.64	9.17	11.08
550	8467	116883	687711245	1356157	0	0	0	0	248714576	550800	0	20467	0	0	549	549	5.832411657559205	5.77	11.91	12.37
600	9832	127772	864251145	1598974	0	0	0	0	307312479	631977	0	24005	0	0	599	599	6.485432387312193	6.42	13.09	13.72
650	11351	139521	1060054027	1822152	0	0	0	0	372418998	708942	0	55120	0	0	649	594	5.157668350168352	6.84	22.42	30.04
700	12348	149715	1320167889	2164011	0	0	0	0	464830797	826478	0	37274	0	0	699	556	12.429012589928059	9.82	32.49	30.15
750	13071	161611	1581893942	2588567	0	36	0	0	547170651	977842	0	25683	0	0	749	703	12.10030298719773	11.77	31.01	31.24
800	15863	173828	1880387487	3001116	0	4	0	0	641104415	1107697	0	18726	0	0	799	724	12.558801104972376	19.57	44.69	63.59
850	15704	183352	2133389251	3283685	0	13	0	0	711573543	1200609	0	17009	0	0	849	677	12.136373707533231	14.95	49.31	48.82
900	18866	195690	2590353103	3672530	0	11	0	0	875724298	1335702	0	17555	0	0	899	630	15.041088888888877	11.1	48.81	49.57
950	43542	206897	3017910130	4255356	0	0	0	0	1014383682	1523664	0	8384	0	0	949	584	16.424433219178088	11.24	64.57	116.02
1000	36010	216074	3393867463	3269410	0	0	0	0	1152816659	1138912	0	0	0	0	999	0	0.0	9.26	60.53	85.46
